source,target,edge_type
CLM_000001,WSH_141,claim_workshop
CLM_000002,WSH_180,claim_workshop
CLM_000003,WSH_239,claim_workshop
CLM_000006,WSH_253,claim_workshop
CLM_000008,WSH_225,claim_workshop
CLM_000009,WSH_065,claim_workshop
CLM_000010,WSH_221,claim_workshop
CLM_000014,WSH_193,claim_workshop
CLM_000018,WSH_142,claim_workshop
CLM_000024,WSH_086,claim_workshop
CLM_000025,WSH_170,claim_workshop
CLM_000026,WSH_008,claim_workshop
CLM_000031,WSH_156,claim_workshop
CLM_000033,WSH_138,claim_workshop
CLM_000037,WSH_184,claim_workshop
CLM_000038,WSH_190,claim_workshop
CLM_000039,WSH_292,claim_workshop
CLM_000040,WSH_161,claim_workshop
CLM_000041,WSH_034,claim_workshop
CLM_000042,WSH_283,claim_workshop
CLM_000045,WSH_180,claim_workshop
CLM_000048,WSH_204,claim_workshop
CLM_000053,WSH_259,claim_workshop
CLM_000062,WSH_277,claim_workshop
CLM_000065,WSH_028,claim_workshop
CLM_000067,WSH_232,claim_workshop
CLM_000068,WSH_140,claim_workshop
CLM_000069,WSH_027,claim_workshop
CLM_000071,WSH_274,claim_workshop
CLM_000073,WSH_224,claim_workshop
CLM_000074,WSH_141,claim_workshop
CLM_000077,WSH_159,claim_workshop
CLM_000079,WSH_186,claim_workshop
CLM_000082,WSH_216,claim_workshop
CLM_000083,WSH_244,claim_workshop
CLM_000084,WSH_194,claim_workshop
CLM_000085,WSH_058,claim_workshop
CLM_000086,WSH_149,claim_workshop
CLM_000087,WSH_087,claim_workshop
CLM_000090,WSH_135,claim_workshop
CLM_000091,WSH_029,claim_workshop
CLM_000092,WSH_086,claim_workshop
CLM_000093,WSH_163,claim_workshop
CLM_000096,WSH_220,claim_workshop
CLM_000099,WSH_070,claim_workshop
CLM_000102,WSH_051,claim_workshop
CLM_000103,WSH_072,claim_workshop
CLM_000107,WSH_152,claim_workshop
CLM_000111,WSH_219,claim_workshop
CLM_000113,WSH_014,claim_workshop
CLM_000115,WSH_121,claim_workshop
CLM_000116,WSH_119,claim_workshop
CLM_000117,WSH_126,claim_workshop
CLM_000119,WSH_052,claim_workshop
CLM_000125,WSH_261,claim_workshop
CLM_000126,WSH_078,claim_workshop
CLM_000127,WSH_052,claim_workshop
CLM_000129,WSH_214,claim_workshop
CLM_000130,WSH_153,claim_workshop
CLM_000131,WSH_039,claim_workshop
CLM_000134,WSH_151,claim_workshop
CLM_000135,WSH_118,claim_workshop
CLM_000136,WSH_182,claim_workshop
CLM_000138,WSH_101,claim_workshop
CLM_000139,WSH_129,claim_workshop
CLM_000140,WSH_225,claim_workshop
CLM_000143,WSH_015,claim_workshop
CLM_000144,WSH_126,claim_workshop
CLM_000145,WSH_255,claim_workshop
CLM_000147,WSH_027,claim_workshop
CLM_000148,WSH_083,claim_workshop
CLM_000150,WSH_140,claim_workshop
CLM_000151,WSH_001,claim_workshop
CLM_000152,WSH_165,claim_workshop
CLM_000153,WSH_122,claim_workshop
CLM_000158,WSH_008,claim_workshop
CLM_000159,WSH_169,claim_workshop
CLM_000161,WSH_010,claim_workshop
CLM_000162,WSH_098,claim_workshop
CLM_000165,WSH_131,claim_workshop
CLM_000166,WSH_171,claim_workshop
CLM_000170,WSH_287,claim_workshop
CLM_000173,WSH_150,claim_workshop
CLM_000178,WSH_033,claim_workshop
CLM_000179,WSH_030,claim_workshop
CLM_000181,WSH_058,claim_workshop
CLM_000183,WSH_219,claim_workshop
CLM_000184,WSH_116,claim_workshop
CLM_000185,WSH_034,claim_workshop
CLM_000186,WSH_011,claim_workshop
CLM_000187,WSH_223,claim_workshop
CLM_000192,WSH_005,claim_workshop
CLM_000193,WSH_004,claim_workshop
CLM_000195,WSH_269,claim_workshop
CLM_000198,WSH_085,claim_workshop
CLM_000199,WSH_134,claim_workshop
CLM_000200,WSH_005,claim_workshop
CLM_000201,WSH_004,claim_workshop
CLM_000202,WSH_004,claim_workshop
CLM_000205,WSH_079,claim_workshop
CLM_000208,WSH_098,claim_workshop
CLM_000211,WSH_152,claim_workshop
CLM_000214,WSH_233,claim_workshop
CLM_000215,WSH_021,claim_workshop
CLM_000216,WSH_097,claim_workshop
CLM_000217,WSH_126,claim_workshop
CLM_000218,WSH_156,claim_workshop
CLM_000223,WSH_210,claim_workshop
CLM_000226,WSH_251,claim_workshop
CLM_000231,WSH_243,claim_workshop
CLM_000232,WSH_195,claim_workshop
CLM_000234,WSH_236,claim_workshop
CLM_000235,WSH_081,claim_workshop
CLM_000236,WSH_034,claim_workshop
CLM_000237,WSH_052,claim_workshop
CLM_000238,WSH_134,claim_workshop
CLM_000239,WSH_220,claim_workshop
CLM_000241,WSH_267,claim_workshop
CLM_000242,WSH_109,claim_workshop
CLM_000243,WSH_009,claim_workshop
CLM_000246,WSH_275,claim_workshop
